Security Code,Type,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
531433,BSE,Sungold Capital Ltd.,SUNGOLD,SUNGOLD CAPITAL LTD.,Active,XT,10,INE271D01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
531436,BSE,Saffron Industries Limited,SAFFRON,Saffron Industries Limited,Active,XT,10,INE474D01013,Paper & Paper Products,Equity,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products
531437,BSE,Prakash Woollen & Synthetic Mills Ltd ,PWASML,Prakash Woollen & Synthetic Mills Ltd,Active,X ,10,INE523I01016,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
531439,BSE,Goldstone Technologies Ltd.,GOLDTECH,GOLDSTONE TECHNOLOGIES LTD.,Active,B ,10,INE805A01014,Computers - Software & Consulting,Equity,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
531444,BSE,Vardhman Concrete Limited,VARDHMAN,Vardhman Concrete Limited,Active,XT,10,INE115C01014,Cement & Cement Products,Equity,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
531449,BSE,GRM Overseas Ltd.,GRMOVER,GRM OVERSEAS LTD.,Active,B ,2,INE192H01020,Other Agricultural Products,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
531453,BSE,Mohit Industries Limited,MOHITIND,MOHIT INDUSTRIES LTD.-$,Active,B ,10,INE954E01012,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
531454,BSE,Polylink Polymers (india) Ltd.,POLYLINK,POLYLINK POLYMERS (INDIA) LTD.,Active,X ,5,INE323D01020,Petrochemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Petrochemicals
531456,BSE,Minaxi Textiles Ltd.,MINAXI,MINAXI TEXTILES LTD.,Active,X ,1,INE952C01028,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
531460,BSE,Continental Controls Ltd.,CONTICON,CONTINENTAL CONTROLS LTD.,Active,X ,10,INE545B01022,Other Electrical Equipment,Equity,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment
531465,BSE,Nouveau Global Ventures Limited,NOUVEAU,NOUVEAU GLOBAL VENTURES LTD.,Active,X ,1,INE317B01042,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors
531471,BSE,Duke Offshore Ltd.,DUKEOFS,DUKE OFFSHORE LTD.,Active,X ,10,INE397G01019,Oil Equipment & Services,Equity,Energy,"Oil, Gas & Consumable Fuels",Oil,Oil Equipment & Services
531472,BSE,Cybele  Industries Limited,CYBELEIND,CYBELE INDUSTRIES LTD.,Active,X ,10,INE183D01010,Other Electrical Equipment,Equity,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment
531489,BSE,Cg-Vak Software & Exports Ltd.,CGVAK,CG-VAK SOFTWARE & EXPORTS LTD.,Active,X ,10,INE084D01010,Computers - Software & Consulting,Equity,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
531494,BSE,NAVKAR URBANSTRUCTURE LIMITED,NAVKAR,Navkar Urbanstructure Ltd,Active,X ,2,INE268H01036,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
531495,BSE,Blue Coast Hotels Ltd,BLUECOAST,BLUE COAST HOTELS LTD.,Active,T ,10,INE472B01011,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
531496,BSE,Omkar Overseas ltd.,OMKAR,OMKAR OVERSEAS LTD.,Active,XT,10,INE680D01015,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
531497,BSE,Madhucon Projects Ltd.,MADHUCON,MADHUCON PROJECTS LTD.-$,Active,T ,1,INE378D01032,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction
531499,BSE,Sybly Industries Ltd.,SYBLY,SYBLY INDUSTRIES LTD.-$,Active,X ,10,INE080D01042,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
531500,BSE,Rajesh Exports Ltd.,RAJESHEXPO,RAJESH EXPORTS LTD.,Active,A ,1,INE343B01030,Gems- Jewellery And Watches,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
531502,BSE,Esaar (India) Ltd.,ESARIND,ESAAR (INDIA) LTD.,Active,X ,10,INE404L01039,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
